range,coverage,percentage_model,percentage_gdb,Model,type
>20000,81.79122183,3.609191792,0.038282334,Train,FG
2000~20000,72.46148247,15.63285176,0.187254005,Train,FG
200~2000,27.11157654,37.26706449,1.193204693,Train,FG
20~200,3.500186594,28.22969012,7.001100532,Train,FG
2~20,0.405344624,11.81689698,25.30646315,Train,FG
<=2,0.045114179,3.444304858,66.27369529,Train,FG
>20000,81.80379747,1.274359493,0.014455784,Train,RS
2000~20000,72.84359824,9.317367277,0.11872596,Train,RS
200~2000,35.1255226,34.95738167,0.92379276,Train,RS
20~200,5.112289763,30.83851376,5.599357887,Train,RS
2~20,0.940054515,13.55405798,13.38371731,Train,RS
<=2,0.116765221,10.05831982,79.95995029,Train,RS
